date, pm25, pm10, o3, no2, so2, co
2024/8/19, 94, 48, 19, 4, 3, 2
2024/8/20, 88, 56, 19, 4, 4, 3
2024/8/21, 169, 60, 15, 4, 4, 3
2024/8/22, 79, 54, , 3, 4, 2
2024/8/23, 92, 57, 16, 3, 4, 3
2024/8/24, 91, , , , , 
2024/9/2, 84, 58, 16, 3, 2, 3
2024/9/3, 96, 55, 15, 3, 4, 3
2024/9/4, 92, 49, 15, 4, 1, 3
2024/9/5, 91, 50, 16, 4, 2, 2
2024/9/6, 90, 52, 20, 4, 2, 2
2024/9/7, 89, 53, 17, 3, 3, 2
2024/9/8, 88, 53, 17, 3, 3, 1
2024/9/9, 90, 58, 21, 4, 4, 1
2024/9/10, 90, 53, 21, 3, 3, 2
2024/9/11, 87, 54, 18, 4, 3, 2
2024/9/12, 91, 56, 18, 5, 4, 2
2024/9/13, 91, 55, 17, 3, 4, 2
2024/9/14, 97, 56, 19, 3, 4, 2
2024/9/15, 89, 56, 19, 4, 4, 3
2024/9/16, 88, 56, 26, 4, 3, 2
2024/9/17, 93, 61, 27, 4, 3, 2
2024/9/18, 93, 59, 20, 4, 2, 2
2024/9/19, 98, 66, 25, 4, 1, 3
2024/9/20, 90, 58, 15, 4, 1, 2
2024/9/21, 90, 56, 22, 3, 2, 3
2024/9/22, 90, 61, 20, 3, 2, 2
2024/9/23, 92, 61, 15, 4, 2, 2
2024/9/24, 88, 58, 12, 4, 6, 3
2024/9/25, 88, 58, 13, 4, 4, 2
2024/9/26, 91, 57, 13, 5, 3, 2
2024/9/27, 88, 56, 11, 4, 3, 2
2024/9/28, 91, 57, 9, 3, 4, 2
2024/9/29, 91, 57, 10, 3, 4, 2
2024/9/30, 89, 59, 24, 3, 4, 2
2024/4/1, 88, 63, 27, 2, 1, 10
2024/4/2, 156, 57, 37, 3, 5, 5
2024/4/3, 102, 39, 26, 4, 5, 4
2024/4/4, 73, 74, 42, 3, 8, 7
2024/4/5, 140, 59, 39, 3, 3, 5
2024/4/6, 105, 43, 38, 2, 7, 4
2024/4/7, 70, 46, 15, 2, 12, 6
2024/4/8, 86, 41, 19, 3, 1, 2
2024/4/9, 70, 45, 24, 4, , 5
2024/4/10, 79, 40, 19, 4, 2, 2
2024/4/11, 73, 52, 16, 3, , 7
2024/4/12, 88, 45, 12, 3, , 4
2024/4/13, 78, 39, 28, 2, , 4
2024/4/14, 69, 40, 29, 2, , 4
2024/4/15, 72, 43, 35, 2, 3, 4
2024/4/16, 78, 50, 36, 3, 3, 7
2024/4/17, 87, 66, 31, 3, , 7
2024/4/18, 127, 51, 31, 4, 2, 10
2024/4/19, 98, 46, 12, 5, 2, 8
2024/4/20, 79, 45, 13, 3, , 6
2024/4/21, 72, 51, 39, 2, 1, 5
2024/4/22, 99, 39, 33, 4, 2, 4
2024/4/23, 70, 42, 35, 4, 6, 5
2024/4/24, 70, 45, 33, 3, 5, 4
2024/4/25, 78, 50, 27, 4, 2, 3
2024/4/26, 88, 54, 27, 3, 4, 5
2024/4/27, 97, 43, 33, 2, 4, 5
2024/4/28, 76, 47, 24, 3, 3, 4
2024/4/29, 89, 55, 26, 3, 4, 5
2024/4/30, 115, 61, 24, 3, 3, 5
2024/5/1, 128, 58, 26, 4, 6, 6
2024/5/2, 106, 51, 23, 3, 3, 6
2024/5/3, 82, 57, 25, 4, 2, 5
2024/5/4, 98, 53, 20, 3, 1, 7
2024/5/5, 91, 53, 26, 3, 1, 7
2024/5/6, 89, 57, 39, 2, 1, 5
2024/5/7, 124, 62, 25, 3, 2, 3
2024/5/8, 115, 50, 38, 3, 1, 5
2024/5/9, 76, 50, 19, 4, 2, 4
2024/5/10, 76, 51, 29, 4, 2, 2
2024/5/11, 94, , , , , 
